受講生ID,氏名,科目名,出席率(%),中間テスト点数,期末テスト点数,課題提出率(%),参加スコア(1-5),入学月,コース
SID-073,受講生073,数学,84.2,83.2,92.4,77.2,3,4,基礎コース
SID-073,受講生073,英語,94.9,78.0,67.6,79.9,4,4,基礎コース
SID-073,受講生073,物理,88.2,81.8,94.5,91.1,5,4,基礎コース
SID-073,受講生073,国語,99.7,79.4,76.1,98.1,5,4,基礎コース
SID-073,受講生073,情報,84.9,90.5,90.2,77.4,4,4,基礎コース
SID-074,受講生074,数学,69.0,54.6,56.6,67.2,2,5,応用コース
SID-074,受講生074,英語,80.9,72.7,65.1,66.7,3,5,応用コース
SID-074,受講生074,物理,70.1,53.4,68.6,70.1,2,5,応用コース
SID-074,受講生074,国語,69.5,71.2,55.0,60.9,2,5,応用コース
SID-074,受講生074,情報,77.8,69.6,50.3,82.9,2,5,応用コース
SID-075,受講生075,数学,82.0,71.2,50.7,61.3,3,12,基礎コース
SID-075,受講生075,英語,71.1,65.5,64.0,63.2,3,12,基礎コース
SID-075,受講生075,物理,80.6,73.5,63.2,71.0,2,12,基礎コース
SID-075,受講生075,国語,75.5,68.6,65.5,78.7,3,12,基礎コース
SID-075,受講生075,情報,70.8,52.9,51.0,72.6,3,12,基礎コース
SID-076,受講生076,数学,91.7,78.8,91.5,97.8,4,12,基礎コース
SID-076,受講生076,英語,84.9,90.8,87.1,88.1,5,12,基礎コース
SID-076,受講生076,物理,95.9,98.6,88.9,97.9,3,12,基礎コース
SID-076,受講生076,国語,99.7,77.3,85.5,86.8,3,12,基礎コース
SID-076,受講生076,情報,81.9,79.4,95.0,82.1,5,12,基礎コース
SID-077,受講生077,数学,80.8,59.6,69.5,82.1,3,6,応用コース
SID-077,受講生077,英語,80.4,58.4,60.2,76.5,2,6,応用コース
SID-077,受講生077,物理,81.6,50.6,50.5,77.8,2,6,応用コース
SID-077,受講生077,国語,74.9,51.4,53.7,81.6,3,6,応用コース
SID-077,受講生077,情報,65.6,59.9,68.6,61.3,2,6,応用コース
SID-078,受講生078,数学,85.2,95.3,89.8,97.1,5,5,応用コース
SID-078,受講生078,英語,84.3,83.6,91.2,81.1,5,5,応用コース
SID-078,受講生078,物理,80.5,98.5,88.4,90.9,3,5,応用コース
SID-078,受講生078,国語,94.9,83.6,79.0,86.2,3,5,応用コース
SID-078,受講生078,情報,84.0,96.1,92.5,83.7,4,5,応用コース
SID-079,受講生079,数学,91.6,69.9,98.9,97.6,5,9,基礎コース
SID-079,受講生079,英語,86.6,70.9,68.5,77.3,5,9,基礎コース
SID-079,受講生079,物理,82.4,67.5,99.6,76.9,3,9,基礎コース
SID-079,受講生079,国語,96.5,85.3,91.0,90.8,3,9,基礎コース
SID-079,受講生079,情報,97.6,87.3,80.9,92.8,4,9,基礎コース
SID-080,受講生080,数学,50.4,36.4,25.1,57.9,1,6,応用コース
SID-080,受講生080,英語,47.8,25.4,27.4,59.5,2,6,応用コース
SID-080,受講生080,物理,60.6,50.0,22.3,56.8,1,6,応用コース
SID-080,受講生080,国語,49.2,27.6,40.7,61.8,1,6,応用コース
SID-080,受講生080,情報,57.1,30.1,36.6,51.8,1,6,応用コース
