property_id,property_name,area,property_type,rent,management_fee,occupancy_status,move_in_date,move_out_date,management_cost,repair_cost,is_vacant,monthly_revenue,total_cost,net_income,source_file
P-世0024,世田-1LDK-024,世田谷区,1LDK,111000,5000,募集中,,2024/01/20,12253,96998,1,0,109251,-109251,04_世田谷区_物件_202401.csv
P-世0025,世田-2LDK-025,世田谷区,2LDK,164000,7500,入居中,2021/02/01,,18691,0,0,171500,18691,152809,04_世田谷区_物件_202401.csv
P-世0026,世田-3LDK-026,世田谷区,3LDK,236000,17000,募集中,,2024/01/20,20070,0,1,0,20070,-20070,04_世田谷区_物件_202401.csv
P-世0027,世田-2LDK-027,世田谷区,2LDK,218000,12000,入居中,2021/01/01,,8715,0,0,230000,8715,221285,04_世田谷区_物件_202401.csv
P-世0028,世田-1K-028,世田谷区,1K,65000,5000,入居中,2023/02/01,,14629,0,0,70000,14629,55371,04_世田谷区_物件_202401.csv
P-世0029,世田-1DK-029,世田谷区,1DK,89000,3500,入居中,2023/10/01,,10048,0,0,92500,10048,82452,04_世田谷区_物件_202401.csv
P-世0030,世田-1DK-030,世田谷区,1DK,84000,6500,空室,,2024/01/10,24691,0,1,0,24691,-24691,04_世田谷区_物件_202401.csv
P-世0031,世田-1K-031,世田谷区,1K,79000,3500,空室,,2024/01/10,7755,0,1,0,7755,-7755,04_世田谷区_物件_202401.csv
P-世0032,世田-1LDK-032,世田谷区,1LDK,148000,9000,募集中,,2024/01/20,21915,0,1,0,21915,-21915,04_世田谷区_物件_202401.csv
P-世0033,世田-1K-033,世田谷区,1K,67000,2500,入居中,2022/09/01,,10065,0,0,69500,10065,59435,04_世田谷区_物件_202401.csv
P-世0034,世田-3LDK-034,世田谷区,3LDK,268000,13000,入居中,2021/09/01,,10920,0,0,281000,10920,270080,04_世田谷区_物件_202401.csv
P-世0035,世田-3LDK-035,世田谷区,3LDK,185000,14000,空室,,2024/01/10,9136,69594,1,0,78730,-78730,04_世田谷区_物件_202401.csv
P-世0036,世田-1DK-036,世田谷区,1DK,115000,4500,入居中,2023/01/01,,8556,0,0,119500,8556,110944,04_世田谷区_物件_202401.csv
P-世0037,世田-3LDK-037,世田谷区,3LDK,233000,9500,入居中,2023/09/01,,22579,0,0,242500,22579,219921,04_世田谷区_物件_202401.csv
P-世0038,世田-1DK-038,世田谷区,1DK,93000,5000,募集中,,2024/01/20,19398,0,1,0,19398,-19398,04_世田谷区_物件_202401.csv
P-世0039,世田-1K-039,世田谷区,1K,73000,5500,入居中,2023/04/01,,6486,0,0,78500,6486,72014,04_世田谷区_物件_202401.csv
P-世0040,世田-1K-040,世田谷区,1K,82000,4500,募集中,,2024/01/20,12865,0,1,0,12865,-12865,04_世田谷区_物件_202401.csv
P-世0041,世田-1K-041,世田谷区,1K,83000,3000,入居中,2023/02/01,,8650,0,0,86000,8650,77350,04_世田谷区_物件_202401.csv
P-世0042,世田-1DK-042,世田谷区,1DK,86000,4500,空室,,2024/01/10,24196,0,1,0,24196,-24196,04_世田谷区_物件_202401.csv
P-世0043,世田-1K-043,世田谷区,1K,72000,2500,入居中,2023/01/01,,8141,0,0,74500,8141,66359,04_世田谷区_物件_202401.csv
P-世0044,世田-1K-044,世田谷区,1K,81000,4000,入居中,2022/02/01,,15572,0,0,85000,15572,69428,04_世田谷区_物件_202401.csv
P-世0045,世田-1LDK-045,世田谷区,1LDK,149000,9500,入居中,2022/08/01,,12417,0,0,158500,12417,146083,04_世田谷区_物件_202401.csv
P-世0046,世田-1K-046,世田谷区,1K,76000,2000,入居中,2022/01/01,,23636,0,0,78000,23636,54364,04_世田谷区_物件_202401.csv
P-世0047,世田-3LDK-047,世田谷区,3LDK,270000,18500,入居中,2021/04/01,,21546,0,0,288500,21546,266954,04_世田谷区_物件_202401.csv
P-世0048,世田-1DK-048,世田谷区,1DK,105000,3000,空室,,2024/01/10,16052,0,1,0,16052,-16052,04_世田谷区_物件_202401.csv
P-世0049,世田-1LDK-049,世田谷区,1LDK,159000,8000,入居中,2021/06/01,,20957,0,0,167000,20957,146043,04_世田谷区_物件_202401.csv
P-品0001,品川-1DK-001,品川区,1DK,102000,7500,入居中,2021/04/01,,17953,0,0,109500,17953,91547,05_品川区_物件_202401.csv
P-品0002,品川-3LDK-002,品川区,3LDK,285000,17000,入居中,2022/07/01,,6457,0,0,302000,6457,295543,05_品川区_物件_202401.csv
P-品0003,品川-1DK-003,品川区,1DK,92000,5500,入居中,2021/10/01,,24723,173821,0,97500,198544,-101044,05_品川区_物件_202401.csv
P-品0004,品川-3LDK-004,品川区,3LDK,297000,23500,入居中,2021/04/01,,19992,0,0,320500,19992,300508,05_品川区_物件_202401.csv
P-品0005,品川-3LDK-005,品川区,3LDK,246000,11500,入居中,2023/07/01,,23950,0,0,257500,23950,233550,05_品川区_物件_202401.csv
P-品0006,品川-2LDK-006,品川区,2LDK,163000,9000,入居中,2021/08/01,,19395,0,0,172000,19395,152605,05_品川区_物件_202401.csv
P-品0007,品川-1DK-007,品川区,1DK,103000,5000,募集中,,2024/01/20,11847,0,1,0,11847,-11847,05_品川区_物件_202401.csv
P-品0008,品川-2LDK-008,品川区,2LDK,224000,14000,入居中,2021/01/01,,6834,0,0,238000,6834,231166,05_品川区_物件_202401.csv
P-品0009,品川-2LDK-009,品川区,2LDK,229000,9000,入居中,2023/03/01,,11530,0,0,238000,11530,226470,05_品川区_物件_202401.csv
P-品0010,品川-1DK-010,品川区,1DK,126000,4500,募集中,,2024/01/20,18356,0,1,0,18356,-18356,05_品川区_物件_202401.csv
P-品0011,品川-1K-011,品川区,1K,79000,5000,入居中,2023/06/01,,10670,0,0,84000,10670,73330,05_品川区_物件_202401.csv
P-品0012,品川-1K-012,品川区,1K,89000,6500,入居中,2021/07/01,,19027,0,0,95500,19027,76473,05_品川区_物件_202401.csv
P-品0013,品川-2LDK-013,品川区,2LDK,155000,12000,入居中,2022/01/01,,11409,0,0,167000,11409,155591,05_品川区_物件_202401.csv
P-品0014,品川-1LDK-014,品川区,1LDK,142000,10000,入居中,2021/11/01,,13001,0,0,152000,13001,138999,05_品川区_物件_202401.csv
P-品0015,品川-2LDK-015,品川区,2LDK,226000,10000,入居中,2022/07/01,,22079,0,0,236000,22079,213921,05_品川区_物件_202401.csv
P-品0016,品川-2LDK-016,品川区,2LDK,223000,9000,入居中,2021/10/01,,11682,0,0,232000,11682,220318,05_品川区_物件_202401.csv
P-品0017,品川-2LDK-017,品川区,2LDK,234000,15500,入居中,2021/06/01,,24564,0,0,249500,24564,224936,05_品川区_物件_202401.csv
P-品0018,品川-1K-018,品川区,1K,91000,3500,入居中,2021/03/01,,14129,0,0,94500,14129,80371,05_品川区_物件_202401.csv
P-品0019,品川-1K-019,品川区,1K,86000,4000,入居中,2021/10/01,,16719,0,0,90000,16719,73281,05_品川区_物件_202401.csv
P-品0020,品川-1K-020,品川区,1K,89000,2500,入居中,2021/10/01,,8353,0,0,91500,8353,83147,05_品川区_物件_202401.csv
P-品0021,品川-2LDK-021,品川区,2LDK,171000,11500,入居中,2022/04/01,,7766,49608,0,182500,57374,125126,05_品川区_物件_202401.csv
P-品0022,品川-1LDK-022,品川区,1LDK,121000,4500,入居中,2022/04/01,,5528,0,0,125500,5528,119972,05_品川区_物件_202401.csv
P-品0023,品川-1K-023,品川区,1K,104000,3000,入居中,2021/06/01,,23768,0,0,107000,23768,83232,05_品川区_物件_202401.csv
P-品0024,品川-1DK-024,品川区,1DK,124000,7500,募集中,,2024/01/20,14051,0,1,0,14051,-14051,05_品川区_物件_202401.csv
P-品0025,品川-1DK-025,品川区,1DK,90000,4500,入居中,2022/09/01,,15128,0,0,94500,15128,79372,05_品川区_物件_202401.csv
P-品0026,品川-1DK-026,品川区,1DK,114000,9000,募集中,,2024/01/20,5475,0,1,0,5475,-5475,05_品川区_物件_202401.csv
P-品0027,品川-3LDK-027,品川区,3LDK,329000,21500,入居中,2023/02/01,,7364,0,0,350500,7364,343136,05_品川区_物件_202401.csv
P-品0028,品川-2LDK-028,品川区,2LDK,188000,6000,入居中,2023/08/01,,12374,0,0,194000,12374,181626,05_品川区_物件_202401.csv
P-品0029,品川-1DK-029,品川区,1DK,122000,8500,入居中,2022/08/01,,23729,0,0,130500,23729,106771,05_品川区_物件_202401.csv
P-品0030,品川-2LDK-030,品川区,2LDK,222000,12000,入居中,2023/02/01,,9439,181815,0,234000,191254,42746,05_品川区_物件_202401.csv
P-品0031,品川-1DK-031,品川区,1DK,99000,5500,空室,,2024/01/10,8070,116705,1,0,124775,-124775,05_品川区_物件_202401.csv
P-品0032,品川-1LDK-032,品川区,1LDK,113000,5500,入居中,2023/10/01,,22014,161686,0,118500,183700,-65200,05_品川区_物件_202401.csv
P-品0033,品川-2LDK-033,品川区,2LDK,180000,6500,入居中,2022/06/01,,8360,0,0,186500,8360,178140,05_品川区_物件_202401.csv
P-品0034,品川-1DK-034,品川区,1DK,105000,3500,入居中,2022/03/01,,21383,0,0,108500,21383,87117,05_品川区_物件_202401.csv
P-品0035,品川-1K-035,品川区,1K,81000,4000,入居中,2021/05/01,,20046,0,0,85000,20046,64954,05_品川区_物件_202401.csv
P-品0036,品川-2LDK-036,品川区,2LDK,187000,7500,募集中,,2024/01/20,9383,0,1,0,9383,-9383,05_品川区_物件_202401.csv
P-品0037,品川-3LDK-037,品川区,3LDK,298000,11500,入居中,2021/05/01,,6719,0,0,309500,6719,302781,05_品川区_物件_202401.csv
P-品0038,品川-1K-038,品川区,1K,94000,3000,入居中,2023/05/01,,24807,0,0,97000,24807,72193,05_品川区_物件_202401.csv
P-品0039,品川-1K-039,品川区,1K,76000,5500,入居中,2022/03/01,,22501,0,0,81500,22501,58999,05_品川区_物件_202401.csv
P-品0040,品川-3LDK-040,品川区,3LDK,261000,11500,入居中,2023/07/01,,18121,0,0,272500,18121,254379,05_品川区_物件_202401.csv
P-品0041,品川-1K-041,品川区,1K,83000,5000,入居中,2021/05/01,,21570,120187,0,88000,141757,-53757,05_品川区_物件_202401.csv
P-品0042,品川-1K-042,品川区,1K,87000,3500,入居中,2022/04/01,,10767,0,0,90500,10767,79733,05_品川区_物件_202401.csv
P-品0043,品川-1DK-043,品川区,1DK,110000,5000,入居中,2021/05/01,,20091,0,0,115000,20091,94909,05_品川区_物件_202401.csv
P-品0044,品川-1DK-044,品川区,1DK,110000,7000,入居中,2022/10/01,,21885,41233,0,117000,63118,53882,05_品川区_物件_202401.csv
P-品0045,品川-2LDK-045,品川区,2LDK,219000,8000,入居中,2023/06/01,,17925,0,0,227000,17925,209075,05_品川区_物件_202401.csv
P-品0046,品川-2LDK-046,品川区,2LDK,225000,7000,入居中,2022/03/01,,23710,0,0,232000,23710,208290,05_品川区_物件_202401.csv
P-品0047,品川-2LDK-047,品川区,2LDK,177000,7000,入居中,2021/06/01,,18590,100506,0,184000,119096,64904,05_品川区_物件_202401.csv
P-品0048,品川-1DK-048,品川区,1DK,92000,3000,入居中,2023/03/01,,18030,0,0,95000,18030,76970,05_品川区_物件_202401.csv
P-品0049,品川-2LDK-049,品川区,2LDK,154000,7000,入居中,2021/09/01,,11845,0,0,161000,11845,149155,05_品川区_物件_202401.csv
P-品0050,品川-1K-050,品川区,1K,101000,7500,募集中,,2024/01/20,18988,46971,1,0,65959,-65959,05_品川区_物件_202401.csv
P-品0051,品川-1DK-051,品川区,1DK,105000,3500,入居中,2021/10/01,,17391,0,0,108500,17391,91109,05_品川区_物件_202401.csv
P-品0052,品川-2LDK-052,品川区,2LDK,212000,16500,入居中,2022/06/01,,15521,65694,0,228500,81215,147285,05_品川区_物件_202401.csv
P-品0053,品川-1K-053,品川区,1K,103000,6000,入居中,2023/04/01,,23315,0,0,109000,23315,85685,05_品川区_物件_202401.csv
P-品0054,品川-2LDK-054,品川区,2LDK,194000,10500,入居中,2023/09/01,,10795,0,0,204500,10795,193705,05_品川区_物件_202401.csv
P-品0055,品川-1LDK-055,品川区,1LDK,145000,5000,募集中,,2024/01/20,18091,0,1,0,18091,-18091,05_品川区_物件_202401.csv
