社員番号,スタッフ名,店番,雇用形態,賃金,日付,開始時刻,終了時刻,休憩時間,勤務時間,深夜勤務
R003-S15,スタッフR00315,R003_池袋店,アルバイト,1077,2024年01月16日,18:00,22:00,0,4.0,True
R003-S16,スタッフR00316,R003_池袋店,パート,1243,2024年01月16日,15:30,19:12,0,3.7,False
R003-S17,スタッフR00317,R003_池袋店,社員,1837,2024年01月16日,10:00,13:54,0,3.9,False
R003-S18,スタッフR00318,R003_池袋店,アルバイト,1178,2024年01月16日,15:30,18:48,0,3.3,False
R003-S20,スタッフR00320,R003_池袋店,アルバイト,1137,2024年01月16日,10:00,14:54,0,4.9,False
R003-S02,スタッフR00302,R003_池袋店,アルバイト,1139,2024年01月17日,21:30,03:36,45,6.1,True
R003-S03,スタッフR00303,R003_池袋店,アルバイト,1138,2024年01月17日,13:00,20:54,45,7.9,False
R003-S04,スタッフR00304,R003_池袋店,アルバイト,1120,2024年01月17日,17:00,20:30,0,3.5,False
R003-S05,スタッフR00305,R003_池袋店,アルバイト,1107,2024年01月17日,21:30,01:00,0,3.5,True
R003-S06,スタッフR00306,R003_池袋店,アルバイト,1099,2024年01月17日,20:30,01:54,0,5.4,True
R003-S07,スタッフR00307,R003_池袋店,アルバイト,1166,2024年01月17日,12:30,20:06,45,7.6,False
R003-S08,スタッフR00308,R003_池袋店,社員,2006,2024年01月17日,11:30,18:24,45,6.9,False
R003-S09,スタッフR00309,R003_池袋店,アルバイト,1197,2024年01月17日,17:30,20:42,0,3.2,False
R003-S10,スタッフR00310,R003_池袋店,アルバイト,1051,2024年01月17日,15:30,20:48,0,5.3,False
R003-S12,スタッフR00312,R003_池袋店,アルバイト,1094,2024年01月17日,19:00,00:30,0,5.5,True
R003-S13,スタッフR00313,R003_池袋店,アルバイト,1154,2024年01月17日,21:00,01:36,0,4.6,True
R003-S14,スタッフR00314,R003_池袋店,アルバイト,1179,2024年01月17日,14:30,19:30,0,5.0,False
R003-S15,スタッフR00315,R003_池袋店,アルバイト,1077,2024年01月17日,19:00,00:42,0,5.7,True
R003-S16,スタッフR00316,R003_池袋店,パート,1243,2024年01月17日,16:00,20:42,0,4.7,False
R003-S17,スタッフR00317,R003_池袋店,社員,1837,2024年01月17日,11:30,18:24,45,6.9,False
R003-S18,スタッフR00318,R003_池袋店,アルバイト,1178,2024年01月17日,15:00,18:54,0,3.9,False
R003-S19,スタッフR00319,R003_池袋店,パート,1175,2024年01月17日,21:30,01:06,0,3.6,True
R003-S20,スタッフR00320,R003_池袋店,アルバイト,1137,2024年01月17日,15:00,22:06,45,7.1,True
R003-S01,スタッフR00301,R003_池袋店,パート,1249,2024年01月18日,16:00,22:00,45,6.0,True
R003-S02,スタッフR00302,R003_池袋店,アルバイト,1139,2024年01月18日,19:30,00:06,0,4.6,True
R003-S03,スタッフR00303,R003_池袋店,アルバイト,1138,2024年01月18日,10:00,14:05,0,4.1,False
R003-S05,スタッフR00305,R003_池袋店,アルバイト,1107,2024年01月18日,20:00,02:48,45,6.8,True
R003-S06,スタッフR00306,R003_池袋店,アルバイト,1099,2024年01月18日,17:30,22:24,0,4.9,True
R003-S07,スタッフR00307,R003_池袋店,アルバイト,1166,2024年01月18日,13:00,19:24,45,6.4,False
R003-S08,スタッフR00308,R003_池袋店,社員,2006,2024年01月18日,11:30,19:06,45,7.6,False
R003-S09,スタッフR00309,R003_池袋店,アルバイト,1197,2024年01月18日,21:30,05:30,60,8.0,True
R003-S10,スタッフR00310,R003_池袋店,アルバイト,1051,2024年01月18日,19:30,02:42,45,7.2,True
R003-S11,スタッフR00311,R003_池袋店,アルバイト,1116,2024年01月18日,10:30,18:00,45,7.5,False
R003-S12,スタッフR00312,R003_池袋店,アルバイト,1094,2024年01月18日,10:30,14:00,0,3.5,False
R003-S13,スタッフR00313,R003_池袋店,アルバイト,1154,2024年01月18日,10:00,15:12,0,5.2,False
R003-S14,スタッフR00314,R003_池袋店,アルバイト,1179,2024年01月18日,20:30,03:06,45,6.6,True
R003-S15,スタッフR00315,R003_池袋店,アルバイト,1077,2024年01月18日,16:00,22:18,45,6.3,True
R003-S16,スタッフR00316,R003_池袋店,パート,1243,2024年01月18日,13:30,20:42,45,7.2,False
R003-S17,スタッフR00317,R003_池袋店,社員,1837,2024年01月18日,10:00,14:24,0,4.4,False
R003-S18,スタッフR00318,R003_池袋店,アルバイト,1178,2024年01月18日,12:00,15:06,0,3.1,False
R003-S19,スタッフR00319,R003_池袋店,パート,1175,2024年01月18日,12:30,18:48,45,6.3,False
R003-S20,スタッフR00320,R003_池袋店,アルバイト,1137,2024年01月18日,12:00,15:42,0,3.7,False
R003-S01,スタッフR00301,R003_池袋店,パート,1249,2024年01月19日,17:30,23:36,45,6.1,True
R003-S02,スタッフR00302,R003_池袋店,アルバイト,1139,2024年01月19日,16:30,21:24,0,4.9,False
R003-S03,スタッフR00303,R003_池袋店,アルバイト,1138,2024年01月19日,16:00,21:54,0,5.9,False
R003-S04,スタッフR00304,R003_池袋店,アルバイト,1120,2024年01月19日,13:30,18:36,0,5.1,False
R003-S05,スタッフR00305,R003_池袋店,アルバイト,1107,2024年01月19日,15:00,22:54,45,7.9,True
R003-S06,スタッフR00306,R003_池袋店,アルバイト,1099,2024年01月19日,21:30,01:06,0,3.6,True
R003-S07,スタッフR00307,R003_池袋店,アルバイト,1166,2024年01月19日,21:00,00:42,0,3.7,True
R003-S08,スタッフR00308,R003_池袋店,社員,2006,2024年01月19日,10:30,16:06,0,5.6,False
R003-S09,スタッフR00309,R003_池袋店,アルバイト,1197,2024年01月19日,19:00,23:12,0,4.2,True
R003-S10,スタッフR00310,R003_池袋店,アルバイト,1051,2024年01月19日,20:00,02:24,45,6.4,True
R003-S11,スタッフR00311,R003_池袋店,アルバイト,1116,2024年01月19日,19:30,01:36,45,6.1,True
R003-S12,スタッフR00312,R003_池袋店,アルバイト,1094,2024年01月19日,18:00,23:18,0,5.3,True
R003-S13,スタッフR00313,R003_池袋店,アルバイト,1154,2024年01月19日,17:30,22:36,0,5.1,True
R003-S14,スタッフR00314,R003_池袋店,アルバイト,1179,2024年01月19日,14:30,18:18,0,3.8,False
R003-S15,スタッフR00315,R003_池袋店,アルバイト,1077,2024年01月19日,19:30,02:06,45,6.6,True
R003-S16,スタッフR00316,R003_池袋店,パート,1243,2024年01月19日,10:30,16:24,0,5.9,False
R003-S17,スタッフR00317,R003_池袋店,社員,1837,2024年01月19日,11:30,18:30,45,7.0,False
R003-S18,スタッフR00318,R003_池袋店,アルバイト,1178,2024年01月19日,14:30,17:54,0,3.4,False
R003-S19,スタッフR00319,R003_池袋店,パート,1175,2024年01月19日,14:30,18:12,0,3.7,False
R003-S20,スタッフR00320,R003_池袋店,アルバイト,1137,2024年01月19日,14:00,20:42,45,6.7,False
R003-S01,スタッフR00301,R003_池袋店,パート,1249,2024年01月20日,19:00,01:18,45,6.3,True
R003-S02,スタッフR00302,R003_池袋店,アルバイト,1139,2024年01月20日,12:30,19:24,45,6.9,False
R003-S03,スタッフR00303,R003_池袋店,アルバイト,1138,2024年01月20日,12:00,16:42,0,4.7,False
R003-S06,スタッフR00306,R003_池袋店,アルバイト,1099,2024年01月20日,12:30,19:18,45,6.8,False
R003-S07,スタッフR00307,R003_池袋店,アルバイト,1166,2024年01月20日,16:00,22:18,45,6.3,True
R003-S08,スタッフR00308,R003_池袋店,社員,2006,2024年01月20日,09:00,14:54,0,5.9,False
R003-S09,スタッフR00309,R003_池袋店,アルバイト,1197,2024年01月20日,10:30,17:18,45,6.8,False
R003-S12,スタッフR00312,R003_池袋店,アルバイト,1094,2024年01月20日,14:30,21:12,45,6.7,False
R003-S13,スタッフR00313,R003_池袋店,アルバイト,1154,2024年01月20日,18:00,22:54,0,4.9,True
R003-S14,スタッフR00314,R003_池袋店,アルバイト,1179,2024年01月20日,17:30,21:12,0,3.7,False
R003-S15,スタッフR00315,R003_池袋店,アルバイト,1077,2024年01月20日,10:30,18:06,45,7.6,False
R003-S16,スタッフR00316,R003_池袋店,パート,1243,2024年01月20日,20:30,04:18,45,7.8,True
R003-S17,スタッフR00317,R003_池袋店,社員,1837,2024年01月20日,09:00,16:36,45,7.6,False
R003-S18,スタッフR00318,R003_池袋店,アルバイト,1178,2024年01月20日,16:30,21:12,0,4.7,False
R003-S19,スタッフR00319,R003_池袋店,パート,1175,2024年01月20日,11:30,17:48,45,6.3,False
R003-S20,スタッフR00320,R003_池袋店,アルバイト,1137,2024年01月20日,20:00,02:42,45,6.7,True
R003-S01,スタッフR00301,R003_池袋店,パート,1249,2024年01月21日,13:30,19:54,45,6.4,False
R003-S02,スタッフR00302,R003_池袋店,アルバイト,1139,2024年01月21日,15:00,21:24,45,6.4,False
R003-S03,スタッフR00303,R003_池袋店,アルバイト,1138,2024年01月21日,10:30,14:00,0,3.5,False
R003-S05,スタッフR00305,R003_池袋店,アルバイト,1107,2024年01月21日,13:30,17:48,0,4.3,False
R003-S07,スタッフR00307,R003_池袋店,アルバイト,1166,2024年01月21日,10:00,17:48,45,7.8,False
R003-S08,スタッフR00308,R003_池袋店,社員,2006,2024年01月21日,11:00,14:24,0,3.4,False
R003-S09,スタッフR00309,R003_池袋店,アルバイト,1197,2024年01月21日,16:00,23:30,45,7.5,True
R003-S10,スタッフR00310,R003_池袋店,アルバイト,1051,2024年01月21日,14:30,19:48,0,5.3,False
R003-S11,スタッフR00311,R003_池袋店,アルバイト,1116,2024年01月21日,20:30,04:06,45,7.6,True
R003-S12,スタッフR00312,R003_池袋店,アルバイト,1094,2024年01月21日,16:30,20:48,0,4.3,False
R003-S13,スタッフR00313,R003_池袋店,アルバイト,1154,2024年01月21日,14:00,18:54,0,4.9,False
R003-S14,スタッフR00314,R003_池袋店,アルバイト,1179,2024年01月21日,10:30,18:18,45,7.8,False
R003-S15,スタッフR00315,R003_池袋店,アルバイト,1077,2024年01月21日,17:00,22:30,0,5.5,True
R003-S16,スタッフR00316,R003_池袋店,パート,1243,2024年01月21日,19:30,23:24,0,3.9,True
R003-S17,スタッフR00317,R003_池袋店,社員,1837,2024年01月21日,09:30,13:35,0,4.1,False
R003-S18,スタッフR00318,R003_池袋店,アルバイト,1178,2024年01月21日,17:30,21:00,0,3.5,False
R003-S20,スタッフR00320,R003_池袋店,アルバイト,1137,2024年01月21日,14:30,17:36,0,3.1,False
R003-S01,スタッフR00301,R003_池袋店,パート,1249,2024年01月22日,20:00,03:42,45,7.7,True
R003-S02,スタッフR00302,R003_池袋店,アルバイト,1139,2024年01月22日,14:00,20:30,45,6.5,False
R003-S03,スタッフR00303,R003_池袋店,アルバイト,1138,2024年01月22日,19:00,00:36,0,5.6,True
R003-S04,スタッフR00304,R003_池袋店,アルバイト,1120,2024年01月22日,17:30,22:42,0,5.2,True
R003-S05,スタッフR00305,R003_池袋店,アルバイト,1107,2024年01月22日,11:00,14:00,0,3.0,False
R003-S06,スタッフR00306,R003_池袋店,アルバイト,1099,2024年01月22日,17:00,22:48,0,5.8,True
R003-S07,スタッフR00307,R003_池袋店,アルバイト,1166,2024年01月22日,15:30,21:54,45,6.4,False
R003-S08,スタッフR00308,R003_池袋店,社員,2006,2024年01月22日,11:00,15:48,0,4.8,False
R003-S09,スタッフR00309,R003_池袋店,アルバイト,1197,2024年01月22日,15:00,22:12,45,7.2,True
R003-S10,スタッフR00310,R003_池袋店,アルバイト,1051,2024年01月22日,14:00,17:54,0,3.9,False
R003-S12,スタッフR00312,R003_池袋店,アルバイト,1094,2024年01月22日,13:30,20:00,45,6.5,False
R003-S13,スタッフR00313,R003_池袋店,アルバイト,1154,2024年01月22日,20:30,01:54,0,5.4,True
R003-S14,スタッフR00314,R003_池袋店,アルバイト,1179,2024年01月22日,17:00,20:42,0,3.7,False
R003-S16,スタッフR00316,R003_池袋店,パート,1243,2024年01月22日,19:00,00:24,0,5.4,True
R003-S17,スタッフR00317,R003_池袋店,社員,1837,2024年01月22日,11:30,17:00,0,5.5,False
R003-S18,スタッフR00318,R003_池袋店,アルバイト,1178,2024年01月22日,17:00,20:12,0,3.2,False
R003-S20,スタッフR00320,R003_池袋店,アルバイト,1137,2024年01月22日,10:30,14:06,0,3.6,False
R003-S01,スタッフR00301,R003_池袋店,パート,1249,2024年01月23日,20:30,04:12,45,7.7,True
R003-S02,スタッフR00302,R003_池袋店,アルバイト,1139,2024年01月23日,18:00,00:42,45,6.7,True
R003-S03,スタッフR00303,R003_池袋店,アルバイト,1138,2024年01月23日,11:00,17:42,45,6.7,False
R003-S04,スタッフR00304,R003_池袋店,アルバイト,1120,2024年01月23日,10:30,18:00,45,7.5,False
R003-S05,スタッフR00305,R003_池袋店,アルバイト,1107,2024年01月23日,13:00,16:06,0,3.1,False
R003-S06,スタッフR00306,R003_池袋店,アルバイト,1099,2024年01月23日,14:00,19:18,0,5.3,False
R003-S08,スタッフR00308,R003_池袋店,社員,2006,2024年01月23日,09:00,14:30,0,5.5,False
R003-S09,スタッフR00309,R003_池袋店,アルバイト,1197,2024年01月23日,13:00,20:00,45,7.0,False
R003-S10,スタッフR00310,R003_池袋店,アルバイト,1051,2024年01月23日,21:30,02:06,0,4.6,True
R003-S11,スタッフR00311,R003_池袋店,アルバイト,1116,2024年01月23日,19:00,23:36,0,4.6,True
R003-S12,スタッフR00312,R003_池袋店,アルバイト,1094,2024年01月23日,13:00,19:00,45,6.0,False
R003-S13,スタッフR00313,R003_池袋店,アルバイト,1154,2024年01月23日,11:30,15:12,0,3.7,False
R003-S14,スタッフR00314,R003_池袋店,アルバイト,1179,2024年01月23日,21:30,03:18,0,5.8,True
R003-S15,スタッフR00315,R003_池袋店,アルバイト,1077,2024年01月23日,19:00,22:42,0,3.7,True
R003-S16,スタッフR00316,R003_池袋店,パート,1243,2024年01月23日,20:30,03:24,45,6.9,True
R003-S18,スタッフR00318,R003_池袋店,アルバイト,1178,2024年01月23日,10:00,13:54,0,3.9,False
R003-S20,スタッフR00320,R003_池袋店,アルバイト,1137,2024年01月23日,14:30,21:00,45,6.5,False
R003-S01,スタッフR00301,R003_池袋店,パート,1249,2024年01月24日,17:00,21:00,0,4.0,False
R003-S02,スタッフR00302,R003_池袋店,アルバイト,1139,2024年01月24日,18:30,23:36,0,5.1,True
R003-S03,スタッフR00303,R003_池袋店,アルバイト,1138,2024年01月24日,19:00,01:00,45,6.0,True
R003-S04,スタッフR00304,R003_池袋店,アルバイト,1120,2024年01月24日,19:00,01:06,45,6.1,True
R003-S05,スタッフR00305,R003_池袋店,アルバイト,1107,2024年01月24日,15:30,18:30,0,3.0,False
R003-S06,スタッフR00306,R003_池袋店,アルバイト,1099,2024年01月24日,11:00,17:06,45,6.1,False
R003-S07,スタッフR00307,R003_池袋店,アルバイト,1166,2024年01月24日,18:00,23:18,0,5.3,True
R003-S08,スタッフR00308,R003_池袋店,社員,2006,2024年01月24日,09:30,12:48,0,3.3,False
R003-S11,スタッフR00311,R003_池袋店,アルバイト,1116,2024年01月24日,17:30,21:24,0,3.9,False
R003-S12,スタッフR00312,R003_池袋店,アルバイト,1094,2024年01月24日,10:00,16:12,45,6.2,False
R003-S13,スタッフR00313,R003_池袋店,アルバイト,1154,2024年01月24日,16:30,21:12,0,4.7,False
R003-S14,スタッフR00314,R003_池袋店,アルバイト,1179,2024年01月24日,17:00,20:30,0,3.5,False
R003-S16,スタッフR00316,R003_池袋店,パート,1243,2024年01月24日,12:00,17:24,0,5.4,False
R003-S17,スタッフR00317,R003_池袋店,社員,1837,2024年01月24日,09:30,15:30,45,6.0,False
R003-S18,スタッフR00318,R003_池袋店,アルバイト,1178,2024年01月24日,13:30,17:42,0,4.2,False
R003-S20,スタッフR00320,R003_池袋店,アルバイト,1137,2024年01月24日,13:30,20:48,45,7.3,False
R003-S01,スタッフR00301,R003_池袋店,パート,1249,2024年01月25日,13:00,18:24,0,5.4,False
R003-S02,スタッフR00302,R003_池袋店,アルバイト,1139,2024年01月25日,16:00,20:05,0,4.1,False
R003-S03,スタッフR00303,R003_池袋店,アルバイト,1138,2024年01月25日,12:30,17:24,0,4.9,False
R003-S04,スタッフR00304,R003_池袋店,アルバイト,1120,2024年01月25日,13:30,21:24,45,7.9,False
R003-S05,スタッフR00305,R003_池袋店,アルバイト,1107,2024年01月25日,12:00,18:30,45,6.5,False
R003-S08,スタッフR00308,R003_池袋店,社員,2006,2024年01月25日,10:30,14:24,0,3.9,False
R003-S09,スタッフR00309,R003_池袋店,アルバイト,1197,2024年01月25日,14:00,20:54,45,6.9,False
R003-S10,スタッフR00310,R003_池袋店,アルバイト,1051,2024年01月25日,19:00,00:54,0,5.9,True
R003-S11,スタッフR00311,R003_池袋店,アルバイト,1116,2024年01月25日,13:00,18:06,0,5.1,False
R003-S12,スタッフR00312,R003_池袋店,アルバイト,1094,2024年01月25日,13:30,20:42,45,7.2,False
R003-S13,スタッフR00313,R003_池袋店,アルバイト,1154,2024年01月25日,21:30,04:12,45,6.7,True
R003-S14,スタッフR00314,R003_池袋店,アルバイト,1179,2024年01月25日,15:30,21:24,0,5.9,False
R003-S15,スタッフR00315,R003_池袋店,アルバイト,1077,2024年01月25日,19:00,02:36,45,7.6,True
R003-S16,スタッフR00316,R003_池袋店,パート,1243,2024年01月25日,16:00,19:12,0,3.2,False
R003-S17,スタッフR00317,R003_池袋店,社員,1837,2024年01月25日,11:00,16:06,0,5.1,False
R003-S18,スタッフR00318,R003_池袋店,アルバイト,1178,2024年01月25日,21:00,02:18,0,5.3,True
R003-S19,スタッフR00319,R003_池袋店,パート,1175,2024年01月25日,18:00,00:30,45,6.5,True
R003-S20,スタッフR00320,R003_池袋店,アルバイト,1137,2024年01月25日,13:00,17:48,0,4.8,False
R003-S01,スタッフR00301,R003_池袋店,パート,1249,2024年01月26日,11:00,16:24,0,5.4,False
R003-S02,スタッフR00302,R003_池袋店,アルバイト,1139,2024年01月26日,21:30,04:48,45,7.3,True
R003-S03,スタッフR00303,R003_池袋店,アルバイト,1138,2024年01月26日,10:30,15:48,0,5.3,False
R003-S05,スタッフR00305,R003_池袋店,アルバイト,1107,2024年01月26日,12:30,18:36,45,6.1,False
R003-S06,スタッフR00306,R003_池袋店,アルバイト,1099,2024年01月26日,10:00,14:54,0,4.9,False
R003-S07,スタッフR00307,R003_池袋店,アルバイト,1166,2024年01月26日,18:00,22:30,0,4.5,True
R003-S08,スタッフR00308,R003_池袋店,社員,2006,2024年01月26日,11:00,17:54,45,6.9,False
R003-S10,スタッフR00310,R003_池袋店,アルバイト,1051,2024年01月26日,21:00,02:36,0,5.6,True
R003-S11,スタッフR00311,R003_池袋店,アルバイト,1116,2024年01月26日,15:00,18:36,0,3.6,False
R003-S12,スタッフR00312,R003_池袋店,アルバイト,1094,2024年01月26日,19:00,23:48,0,4.8,True
R003-S14,スタッフR00314,R003_池袋店,アルバイト,1179,2024年01月26日,11:00,14:42,0,3.7,False
R003-S15,スタッフR00315,R003_池袋店,アルバイト,1077,2024年01月26日,18:00,00:12,45,6.2,True
R003-S16,スタッフR00316,R003_池袋店,パート,1243,2024年01月26日,19:00,01:48,45,6.8,True
R003-S17,スタッフR00317,R003_池袋店,社員,1837,2024年01月26日,10:30,18:00,45,7.5,False
R003-S18,スタッフR00318,R003_池袋店,アルバイト,1178,2024年01月26日,16:30,19:48,0,3.3,False
R003-S19,スタッフR00319,R003_池袋店,パート,1175,2024年01月26日,17:30,23:00,0,5.5,True
R003-S20,スタッフR00320,R003_池袋店,アルバイト,1137,2024年01月26日,17:30,22:48,0,5.3,True
R003-S01,スタッフR00301,R003_池袋店,パート,1249,2024年01月27日,20:00,23:54,0,3.9,True
R003-S02,スタッフR00302,R003_池袋店,アルバイト,1139,2024年01月27日,11:00,16:00,0,5.0,False
R003-S04,スタッフR00304,R003_池袋店,アルバイト,1120,2024年01月27日,11:00,14:48,0,3.8,False
R003-S08,スタッフR00308,R003_池袋店,社員,2006,2024年01月27日,11:00,15:30,0,4.5,False
R003-S09,スタッフR00309,R003_池袋店,アルバイト,1197,2024年01月27日,18:00,23:24,0,5.4,True
R003-S10,スタッフR00310,R003_池袋店,アルバイト,1051,2024年01月27日,21:00,01:30,0,4.5,True
R003-S12,スタッフR00312,R003_池袋店,アルバイト,1094,2024年01月27日,13:30,18:36,0,5.1,False
R003-S13,スタッフR00313,R003_池袋店,アルバイト,1154,2024年01月27日,20:30,01:54,0,5.4,True
R003-S14,スタッフR00314,R003_池袋店,アルバイト,1179,2024年01月27日,18:30,23:48,0,5.3,True
R003-S15,スタッフR00315,R003_池袋店,アルバイト,1077,2024年01月27日,14:00,20:54,45,6.9,False
R003-S16,スタッフR00316,R003_池袋店,パート,1243,2024年01月27日,15:30,22:18,45,6.8,True
R003-S18,スタッフR00318,R003_池袋店,アルバイト,1178,2024年01月27日,17:00,23:06,45,6.1,True
R003-S19,スタッフR00319,R003_池袋店,パート,1175,2024年01月27日,18:30,22:24,0,3.9,True
R003-S01,スタッフR00301,R003_池袋店,パート,1249,2024年01月28日,20:00,23:48,0,3.8,True
R003-S03,スタッフR00303,R003_池袋店,アルバイト,1138,2024年01月28日,19:00,00:12,0,5.2,True
R003-S04,スタッフR00304,R003_池袋店,アルバイト,1120,2024年01月28日,13:00,19:18,45,6.3,False
R003-S05,スタッフR00305,R003_池袋店,アルバイト,1107,2024年01月28日,12:30,17:42,0,5.2,False
R003-S06,スタッフR00306,R003_池袋店,アルバイト,1099,2024年01月28日,18:30,22:06,0,3.6,True
R003-S08,スタッフR00308,R003_池袋店,社員,2006,2024年01月28日,09:30,17:06,45,7.6,False
R003-S10,スタッフR00310,R003_池袋店,アルバイト,1051,2024年01月28日,18:30,00:42,45,6.2,True
R003-S11,スタッフR00311,R003_池袋店,アルバイト,1116,2024年01月28日,14:00,21:00,45,7.0,False
R003-S12,スタッフR00312,R003_池袋店,アルバイト,1094,2024年01月28日,17:30,23:54,45,6.4,True
R003-S13,スタッフR00313,R003_池袋店,アルバイト,1154,2024年01月28日,10:00,16:24,45,6.4,False
R003-S16,スタッフR00316,R003_池袋店,パート,1243,2024年01月28日,13:30,18:18,0,4.8,False
R003-S17,スタッフR00317,R003_池袋店,社員,1837,2024年01月28日,11:00,16:54,0,5.9,False
R003-S18,スタッフR00318,R003_池袋店,アルバイト,1178,2024年01月28日,14:00,17:06,0,3.1,False
R003-S19,スタッフR00319,R003_池袋店,パート,1175,2024年01月28日,17:00,00:54,45,7.9,True
R003-S20,スタッフR00320,R003_池袋店,アルバイト,1137,2024年01月28日,17:30,23:30,45,6.0,True
R003-S01,スタッフR00301,R003_池袋店,パート,1249,2024年01月29日,10:30,15:30,0,5.0,False
R003-S02,スタッフR00302,R003_池袋店,アルバイト,1139,2024年01月29日,16:30,21:24,0,4.9,False
R003-S04,スタッフR00304,R003_池袋店,アルバイト,1120,2024年01月29日,14:30,21:54,45,7.4,False
R003-S06,スタッフR00306,R003_池袋店,アルバイト,1099,2024年01月29日,17:30,00:30,45,7.0,True
R003-S07,スタッフR00307,R003_池袋店,アルバイト,1166,2024年01月29日,21:30,04:06,45,6.6,True
R003-S08,スタッフR00308,R003_池袋店,社員,2006,2024年01月29日,11:00,14:42,0,3.7,False
R003-S09,スタッフR00309,R003_池袋店,アルバイト,1197,2024年01月29日,18:30,21:48,0,3.3,False
R003-S10,スタッフR00310,R003_池袋店,アルバイト,1051,2024年01月29日,16:00,19:00,0,3.0,False
R003-S11,スタッフR00311,R003_池袋店,アルバイト,1116,2024年01月29日,14:30,18:24,0,3.9,False
R003-S12,スタッフR00312,R003_池袋店,アルバイト,1094,2024年01月29日,19:00,23:00,0,4.0,True
R003-S13,スタッフR00313,R003_池袋店,アルバイト,1154,2024年01月29日,14:30,17:42,0,3.2,False
R003-S14,スタッフR00314,R003_池袋店,アルバイト,1179,2024年01月29日,19:30,01:00,0,5.5,True
R003-S15,スタッフR00315,R003_池袋店,アルバイト,1077,2024年01月29日,13:00,20:00,45,7.0,False
R003-S16,スタッフR00316,R003_池袋店,パート,1243,2024年01月29日,14:30,18:06,0,3.6,False
R003-S17,スタッフR00317,R003_池袋店,社員,1837,2024年01月29日,10:30,14:24,0,3.9,False
R003-S18,スタッフR00318,R003_池袋店,アルバイト,1178,2024年01月29日,20:00,23:06,0,3.1,True
R003-S19,スタッフR00319,R003_池袋店,パート,1175,2024年01月29日,17:00,23:00,45,6.0,True
R003-S20,スタッフR00320,R003_池袋店,アルバイト,1137,2024年01月29日,17:30,00:48,45,7.3,True
R003-S01,スタッフR00301,R003_池袋店,パート,1249,2024年01月30日,17:00,21:54,0,4.9,False
R003-S02,スタッフR00302,R003_池袋店,アルバイト,1139,2024年01月30日,10:30,14:18,0,3.8,False
R003-S04,スタッフR00304,R003_池袋店,アルバイト,1120,2024年01月30日,21:00,01:48,0,4.8,True
R003-S06,スタッフR00306,R003_池袋店,アルバイト,1099,2024年01月30日,20:30,23:42,0,3.2,True
R003-S07,スタッフR00307,R003_池袋店,アルバイト,1166,2024年01月30日,20:00,01:36,0,5.6,True
R003-S08,スタッフR00308,R003_池袋店,社員,2006,2024年01月30日,09:00,15:00,45,6.0,False
R003-S10,スタッフR00310,R003_池袋店,アルバイト,1051,2024年01月30日,15:30,19:54,0,4.4,False
R003-S11,スタッフR00311,R003_池袋店,アルバイト,1116,2024年01月30日,15:00,20:42,0,5.7,False
R003-S12,スタッフR00312,R003_池袋店,アルバイト,1094,2024年01月30日,12:00,15:42,0,3.7,False
R003-S13,スタッフR00313,R003_池袋店,アルバイト,1154,2024年01月30日,17:30,22:12,0,4.7,True
R003-S14,スタッフR00314,R003_池袋店,アルバイト,1179,2024年01月30日,11:00,14:48,0,3.8,False
R003-S15,スタッフR00315,R003_池袋店,アルバイト,1077,2024年01月30日,13:00,18:06,0,5.1,False
R003-S16,スタッフR00316,R003_池袋店,パート,1243,2024年01月30日,11:00,18:36,45,7.6,False
R003-S17,スタッフR00317,R003_池袋店,社員,1837,2024年01月30日,10:30,14:12,0,3.7,False
R003-S18,スタッフR00318,R003_池袋店,アルバイト,1178,2024年01月30日,19:30,23:24,0,3.9,True
R003-S19,スタッフR00319,R003_池袋店,パート,1175,2024年01月30日,21:00,01:05,0,4.1,True
R003-S20,スタッフR00320,R003_池袋店,アルバイト,1137,2024年01月30日,12:00,16:30,0,4.5,False
R003-S01,スタッフR00301,R003_池袋店,パート,1249,2024年01月31日,11:30,18:00,45,6.5,False
R003-S02,スタッフR00302,R003_池袋店,アルバイト,1139,2024年01月31日,11:00,17:54,45,6.9,False
R003-S03,スタッフR00303,R003_池袋店,アルバイト,1138,2024年01月31日,10:00,13:30,0,3.5,False
R003-S04,スタッフR00304,R003_池袋店,アルバイト,1120,2024年01月31日,18:00,23:18,0,5.3,True
R003-S05,スタッフR00305,R003_池袋店,アルバイト,1107,2024年01月31日,10:00,14:30,0,4.5,False
R003-S08,スタッフR00308,R003_池袋店,社員,2006,2024年01月31日,11:00,16:54,0,5.9,False
R003-S09,スタッフR00309,R003_池袋店,アルバイト,1197,2024年01月31日,20:30,23:36,0,3.1,True
R003-S11,スタッフR00311,R003_池袋店,アルバイト,1116,2024年01月31日,14:30,19:18,0,4.8,False
R003-S12,スタッフR00312,R003_池袋店,アルバイト,1094,2024年01月31日,21:00,02:30,0,5.5,True
R003-S14,スタッフR00314,R003_池袋店,アルバイト,1179,2024年01月31日,10:00,16:36,45,6.6,False
R003-S15,スタッフR00315,R003_池袋店,アルバイト,1077,2024年01月31日,12:00,19:54,45,7.9,False
R003-S17,スタッフR00317,R003_池袋店,社員,1837,2024年01月31日,11:30,16:18,0,4.8,False
R003-S18,スタッフR00318,R003_池袋店,アルバイト,1178,2024年01月31日,17:00,20:54,0,3.9,False
R003-S19,スタッフR00319,R003_池袋店,パート,1175,2024年01月31日,16:30,20:35,0,4.1,False
