ContractDate,ContractID,Plan,Industry,MonthlyFee,UsageMonths,LoginCount,SupportCount,Status,ChurnReason
2023-11-03,CON-0377,Starter,Service,3000,10,15,9,Active,
2023-09-24,CON-0378,Enterprise,Healthcare,30000,8,20,2,Active,
2023-10-30,CON-0379,Starter,IT,3000,10,18,0,Active,
2023-01-25,CON-0380,Enterprise,Manufacturing,30000,21,44,6,Active,
2023-06-03,CON-0381,Standard,IT,8000,17,21,6,Active,
2023-06-03,CON-0382,Standard,Manufacturing,8000,18,31,3,Active,
2023-08-02,CON-0383,Enterprise,Manufacturing,30000,15,59,0,Active,
2023-06-19,CON-0384,Enterprise,Service,30000,5,25,3,Active,
2023-01-27,CON-0385,Enterprise,Retail,30000,15,55,5,Churned,Lack of features
2023-04-07,CON-0386,Standard,IT,8000,22,39,9,Churned,Too expensive
2023-06-20,CON-0387,Enterprise,Service,30000,7,31,3,Active,
2023-03-02,CON-0388,Standard,Retail,8000,7,60,3,Active,
2023-07-23,CON-0389,Enterprise,IT,30000,8,45,9,Active,
2023-10-01,CON-0390,Starter,Service,3000,11,50,4,Active,
2023-09-12,CON-0391,Enterprise,Healthcare,30000,10,17,5,Active,
2023-07-09,CON-0392,Standard,Retail,8000,24,31,5,Active,
2023-01-09,CON-0393,Standard,IT,8000,2,37,3,Active,
2023-04-11,CON-0394,Standard,Service,8000,19,38,6,Active,
2023-12-02,CON-0395,Standard,Manufacturing,8000,13,37,3,Active,
2023-11-25,CON-0396,Enterprise,Healthcare,30000,9,49,7,Active,
2023-09-08,CON-0397,Enterprise,IT,30000,15,11,5,Churned,Hard to use
2023-12-09,CON-0398,Starter,Service,3000,21,4,8,Churned,Too expensive
2023-01-05,CON-0399,Starter,Retail,3000,14,9,10,Churned,Lack of features
2023-12-08,CON-0400,Starter,Service,3000,15,24,0,Active,
2023-07-30,CON-0401,Enterprise,IT,30000,22,32,0,Churned,Hard to use
2023-05-27,CON-0402,Starter,Retail,3000,17,47,4,Active,
2023-04-02,CON-0403,Starter,Service,3000,23,44,6,Active,
2023-05-10,CON-0404,Starter,Retail,3000,17,10,3,Churned,Hard to use
2023-08-24,CON-0405,Standard,Healthcare,8000,13,6,5,Active,
2023-02-11,CON-0406,Enterprise,Manufacturing,30000,23,15,4,Active,
2023-09-01,CON-0407,Enterprise,Retail,30000,3,26,6,Active,
2023-08-11,CON-0408,Starter,Retail,3000,23,11,1,Active,
2023-01-22,CON-0409,Enterprise,Healthcare,30000,19,55,1,Active,
2023-01-24,CON-0410,Starter,Manufacturing,3000,23,57,9,Active,
2023-01-09,CON-0411,Starter,Healthcare,3000,18,37,10,Churned,Switched to competitor
2023-06-03,CON-0412,Starter,Service,3000,5,49,6,Active,
2023-10-04,CON-0413,Starter,Service,3000,8,37,6,Active,
2023-06-27,CON-0414,Standard,IT,8000,24,9,1,Active,
2023-11-11,CON-0415,Starter,Retail,3000,14,15,1,Active,
2023-08-19,CON-0416,Enterprise,IT,30000,11,2,10,Active,
2023-12-15,CON-0417,Standard,Manufacturing,8000,12,36,6,Active,
2023-05-07,CON-0418,Enterprise,IT,30000,3,50,9,Active,
2023-11-21,CON-0419,Enterprise,Retail,30000,3,18,2,Active,
2023-08-16,CON-0420,Starter,IT,3000,11,24,1,Churned,Switched to competitor
2023-10-13,CON-0421,Standard,Healthcare,8000,4,9,1,Churned,Business closed
2023-02-17,CON-0422,Enterprise,Service,30000,14,7,0,Churned,Hard to use
2023-07-18,CON-0423,Enterprise,Service,30000,11,56,6,Churned,Business closed
2023-03-28,CON-0424,Starter,Service,3000,8,37,8,Churned,Business closed
2023-08-11,CON-0425,Starter,Healthcare,3000,10,18,7,Churned,Lack of features
2023-05-07,CON-0426,Standard,IT,8000,10,31,1,Active,
2023-03-11,CON-0427,Enterprise,IT,30000,20,40,3,Active,
2023-06-18,CON-0428,Standard,Retail,8000,13,22,9,Active,
2023-03-11,CON-0429,Standard,Healthcare,8000,14,53,10,Active,
2023-04-01,CON-0430,Standard,Healthcare,8000,20,45,3,Active,
2023-10-22,CON-0431,Standard,Healthcare,8000,10,48,10,Active,
2023-10-16,CON-0432,Starter,Healthcare,3000,13,18,6,Active,
2023-01-14,CON-0433,Starter,Service,3000,18,12,10,Active,
2023-12-21,CON-0434,Enterprise,IT,30000,23,14,7,Active,
2023-05-04,CON-0435,Starter,IT,3000,22,32,2,Active,
2023-09-03,CON-0436,Standard,Manufacturing,8000,23,28,6,Churned,Hard to use
2023-07-04,CON-0437,Enterprise,IT,30000,18,33,6,Active,
2023-12-03,CON-0438,Enterprise,Service,30000,20,41,1,Churned,Lack of features
2023-06-19,CON-0439,Enterprise,Healthcare,30000,6,42,9,Churned,Business closed
2023-10-13,CON-0440,Standard,Retail,8000,1,7,4,Churned,Hard to use
2023-12-14,CON-0441,Enterprise,Service,30000,8,29,5,Active,
2023-06-01,CON-0442,Enterprise,Service,30000,5,23,0,Active,
2023-06-25,CON-0443,Standard,Retail,8000,4,54,2,Active,
2023-08-13,CON-0444,Standard,Manufacturing,8000,17,31,5,Active,
2023-01-12,CON-0445,Enterprise,IT,30000,11,5,4,Churned,Too expensive
2023-05-05,CON-0446,Standard,Retail,8000,22,52,2,Active,
2023-08-25,CON-0447,Enterprise,Manufacturing,30000,18,11,5,Active,
2023-08-10,CON-0448,Starter,IT,3000,21,12,2,Active,
2023-08-08,CON-0449,Standard,Retail,8000,24,40,3,Active,
2023-12-27,CON-0450,Standard,Retail,8000,23,14,3,Active,
2023-04-11,CON-0451,Starter,Service,3000,4,52,8,Churned,Switched to competitor
2023-11-24,CON-0452,Standard,Retail,8000,9,43,7,Active,
2023-06-28,CON-0453,Standard,Service,8000,13,40,6,Active,
2023-06-02,CON-0454,Standard,IT,8000,20,12,10,Active,
2023-05-03,CON-0455,Enterprise,Service,30000,3,44,2,Active,
2023-08-03,CON-0456,Standard,Retail,8000,6,24,2,Active,
2023-12-22,CON-0457,Enterprise,Manufacturing,30000,19,25,6,Churned,Hard to use
2023-04-06,CON-0458,Enterprise,Manufacturing,30000,18,11,7,Active,
2023-09-06,CON-0459,Standard,IT,8000,20,4,5,Active,
2023-07-29,CON-0460,Starter,Manufacturing,3000,13,36,8,Active,
2023-02-12,CON-0461,Enterprise,IT,30000,14,46,7,Active,
2023-10-03,CON-0462,Enterprise,Retail,30000,8,19,0,Active,
2023-02-27,CON-0463,Standard,Manufacturing,8000,15,37,7,Active,
2023-07-07,CON-0464,Enterprise,Retail,30000,9,50,8,Active,
2023-02-22,CON-0465,Enterprise,Retail,30000,24,29,8,Churned,Business closed
2023-06-28,CON-0466,Enterprise,Manufacturing,30000,10,56,0,Active,
2023-12-19,CON-0467,Starter,IT,3000,4,50,3,Churned,Hard to use
2023-04-16,CON-0468,Standard,Service,8000,21,28,2,Active,
2023-10-03,CON-0469,Starter,Retail,3000,19,23,8,Active,
2023-09-21,CON-0470,Starter,Healthcare,3000,23,19,4,Active,
2023-05-22,CON-0471,Enterprise,Retail,30000,5,49,6,Active,
2023-05-07,CON-0472,Enterprise,Manufacturing,30000,23,56,2,Churned,Switched to competitor
2023-11-18,CON-0473,Enterprise,IT,30000,16,10,9,Active,
2023-02-17,CON-0474,Standard,IT,8000,15,5,10,Active,
2023-09-07,CON-0475,Standard,Service,8000,24,18,5,Active,
2023-08-23,CON-0476,Standard,Service,8000,1,56,1,Active,
2023-08-08,CON-0477,Enterprise,Healthcare,30000,3,51,8,Active,
2023-10-23,CON-0478,Starter,IT,3000,9,21,4,Active,
2023-01-25,CON-0479,Starter,Service,3000,16,51,5,Active,
2023-08-14,CON-0480,Starter,Retail,3000,21,51,7,Churned,Lack of features
