contract_no,customer_code,insurance_type,start_date,end_date,annual_premium,agent_name,days_to_expiry,renewal_status,contract_years,source_file
CON000206,CUST-021,医療保険,2022-03-21,2023-03-21,1438186.0,高橋,-317,期限切れ,1.0,02_contract_data_B_202401.csv
CON000207,CUST-107,医療保険,2020-02-21,2024-02-20,1633230.0,佐藤,19,緊急,4.0,02_contract_data_B_202401.csv
CON000208,CUST-029,医療保険,2020-02-13,2024-02-12,1070542.0,伊藤,11,緊急,4.0,02_contract_data_B_202401.csv
CON000209,CUST-057,年金保険,2023-02-10,2024-02-10,164886.0,伊藤,9,緊急,1.0,02_contract_data_B_202401.csv
CON000210,CUST-036,医療保険,2021-08-30,2023-08-30,738122.0,鈴木,-155,期限切れ,2.0,02_contract_data_B_202401.csv
CON000211,CUST-045,損害保険,2019-05-23,2023-05-22,1166906.0,高橋,-255,期限切れ,4.0,02_contract_data_B_202401.csv
CON000212,CUST-091,生命保険,2019-04-06,2024-04-04,1857250.0,高橋,63,警告,5.0,02_contract_data_B_202401.csv
CON000213,CUST-118,生命保険,2023-03-31,2024-03-30,1257454.0,鈴木,58,警告,1.0,02_contract_data_B_202401.csv
CON000214,CUST-075,生命保険,2020-02-14,2024-02-13,93739.0,高橋,12,緊急,4.0,02_contract_data_B_202401.csv
CON000215,CUST-118,医療保険,2019-10-26,2024-10-24,965850.0,田中,266,正常,5.0,02_contract_data_B_202401.csv
CON000216,CUST-103,生命保険,2021-01-07,2025-01-06,1875622.0,高橋,340,正常,4.0,02_contract_data_B_202401.csv
CON000217,CUST-086,損害保険,2022-02-11,2024-02-11,1120561.0,田中,10,緊急,2.0,02_contract_data_B_202401.csv
CON000218,CUST-050,医療保険,2019-04-07,2024-04-05,1575424.0,鈴木,64,警告,5.0,02_contract_data_B_202401.csv
CON000219,CUST-027,損害保険,2022-10-01,2024-09-30,463708.0,鈴木,242,正常,2.0,02_contract_data_B_202401.csv
CON000220,CUST-046,年金保険,2022-11-14,2023-11-14,1632187.0,高橋,-79,期限切れ,1.0,02_contract_data_B_202401.csv
CON000221,CUST-145,医療保険,2020-04-10,2024-04-09,366580.0,鈴木,68,警告,4.0,02_contract_data_B_202401.csv
CON000222,CUST-078,医療保険,2020-02-17,2024-02-16,167801.0,伊藤,15,緊急,4.0,02_contract_data_B_202401.csv
CON000223,CUST-119,年金保険,2021-02-03,2024-02-03,169307.0,田中,2,緊急,3.0,02_contract_data_B_202401.csv
CON000224,CUST-024,年金保険,2023-02-10,2024-02-10,1267038.0,高橋,9,緊急,1.0,02_contract_data_B_202401.csv
CON000225,CUST-116,損害保険,2023-04-23,2024-04-22,1318789.0,鈴木,81,警告,1.0,02_contract_data_B_202401.csv
CON000226,CUST-116,生命保険,2023-02-05,2024-02-05,1548028.0,鈴木,4,緊急,1.0,02_contract_data_B_202401.csv
CON000227,CUST-011,損害保険,2021-03-07,2023-03-07,971534.0,高橋,-331,期限切れ,2.0,02_contract_data_B_202401.csv
CON000228,CUST-094,医療保険,2022-02-20,2024-02-20,862471.0,鈴木,19,緊急,2.0,02_contract_data_B_202401.csv
CON000229,CUST-014,医療保険,2019-02-12,2024-02-11,741411.0,田中,10,緊急,5.0,02_contract_data_B_202401.csv
CON000230,CUST-073,医療保険,2019-02-19,2023-02-18,1881400.0,伊藤,-348,期限切れ,4.0,02_contract_data_B_202401.csv
CON000231,CUST-037,医療保険,2018-12-22,2023-12-21,1425846.0,鈴木,-42,期限切れ,5.0,02_contract_data_B_202401.csv
CON000232,CUST-022,医療保険,2022-03-29,2024-03-28,839953.0,伊藤,56,警告,2.0,02_contract_data_B_202401.csv
CON000233,CUST-135,生命保険,2022-03-25,2024-03-24,1116377.0,高橋,52,警告,2.0,02_contract_data_B_202401.csv
CON000234,CUST-047,損害保険,2021-02-12,2024-02-12,1656746.0,鈴木,11,緊急,3.0,02_contract_data_B_202401.csv
CON000235,CUST-040,生命保険,2022-02-08,2024-02-08,1820894.0,鈴木,7,緊急,2.0,02_contract_data_B_202401.csv
CON000236,CUST-135,生命保険,2019-04-06,2024-04-04,1887928.0,鈴木,63,警告,5.0,02_contract_data_B_202401.csv
CON000237,CUST-097,損害保険,2019-03-13,2024-03-11,429261.0,佐藤,39,警告,5.0,02_contract_data_B_202401.csv
CON000238,CUST-113,生命保険,2024-02-01,2026-01-31,813991.0,高橋,730,正常,2.0,02_contract_data_B_202401.csv
CON000239,CUST-073,年金保険,2020-03-19,2024-03-18,1169902.0,佐藤,46,警告,4.0,02_contract_data_B_202401.csv
CON000240,CUST-095,年金保険,2021-06-05,2023-06-05,1663629.0,高橋,-241,期限切れ,2.0,02_contract_data_B_202401.csv
CON000241,CUST-136,年金保険,2018-07-21,2023-07-20,1763145.0,佐藤,-196,期限切れ,5.0,02_contract_data_B_202401.csv
CON000242,CUST-065,生命保険,2021-03-28,2023-03-28,1883156.0,高橋,-310,期限切れ,2.0,02_contract_data_B_202401.csv
CON000243,CUST-133,生命保険,2023-03-02,2024-03-01,225898.0,鈴木,29,緊急,1.0,02_contract_data_B_202401.csv
CON000244,CUST-132,損害保険,2020-03-21,2024-03-20,242337.0,高橋,48,警告,4.0,02_contract_data_B_202401.csv
CON000245,CUST-090,生命保険,2020-12-16,2024-12-15,161687.0,高橋,318,正常,4.0,02_contract_data_B_202401.csv
CON000246,CUST-099,生命保険,2022-02-12,2024-02-12,520891.0,鈴木,11,緊急,2.0,02_contract_data_B_202401.csv
CON000247,CUST-038,損害保険,2020-12-12,2023-12-12,651629.0,田中,-51,期限切れ,3.0,02_contract_data_B_202401.csv
CON000248,CUST-121,年金保険,2023-08-29,2025-08-28,61012.0,伊藤,574,正常,2.0,02_contract_data_B_202401.csv
CON000249,CUST-056,損害保険,2021-05-22,2024-05-21,1575121.0,伊藤,110,正常,3.0,02_contract_data_B_202401.csv
CON000250,CUST-074,損害保険,2023-03-31,2024-03-30,305534.0,鈴木,58,警告,1.0,02_contract_data_B_202401.csv
CON000251,CUST-118,生命保険,2018-07-02,2023-07-01,1804661.0,田中,-215,期限切れ,5.0,02_contract_data_B_202401.csv
CON000252,CUST-005,損害保険,2021-01-04,2026-01-03,660841.0,佐藤,702,正常,5.0,02_contract_data_B_202401.csv
CON000253,CUST-062,年金保険,2021-02-20,2024-02-20,1443287.0,佐藤,19,緊急,3.0,02_contract_data_B_202401.csv
CON000254,CUST-018,生命保険,2021-04-06,2024-04-05,1881508.0,高橋,64,警告,3.0,02_contract_data_B_202401.csv
CON000255,CUST-096,医療保険,2020-02-22,2024-02-21,798880.0,田中,20,緊急,4.0,02_contract_data_B_202401.csv
CON000256,CUST-027,医療保険,2022-03-26,2024-03-25,142978.0,佐藤,53,警告,2.0,02_contract_data_B_202401.csv
CON000257,CUST-119,年金保険,2022-02-11,2024-02-11,1751833.0,佐藤,10,緊急,2.0,02_contract_data_B_202401.csv
CON000258,CUST-076,損害保険,2022-06-11,2023-06-11,1709076.0,田中,-235,期限切れ,1.0,02_contract_data_B_202401.csv
CON000259,CUST-080,年金保険,2021-01-10,2024-01-10,1042791.0,伊藤,-22,期限切れ,3.0,02_contract_data_B_202401.csv
CON000260,CUST-074,医療保険,2021-03-06,2023-03-06,1865710.0,田中,-332,期限切れ,2.0,02_contract_data_B_202401.csv
CON000261,CUST-095,年金保険,2023-03-21,2024-03-20,1608829.0,高橋,48,警告,1.0,02_contract_data_B_202401.csv
CON000262,CUST-087,損害保険,2020-03-03,2024-03-02,1501372.0,高橋,30,緊急,4.0,02_contract_data_B_202401.csv
CON000263,CUST-069,生命保険,2019-03-03,2024-03-01,215521.0,高橋,29,緊急,5.0,02_contract_data_B_202401.csv
CON000264,CUST-140,医療保険,2022-02-27,2024-02-27,265163.0,鈴木,26,緊急,2.0,02_contract_data_B_202401.csv
CON000265,CUST-079,年金保険,2020-02-28,2023-02-27,1555048.0,伊藤,-339,期限切れ,3.0,02_contract_data_B_202401.csv
CON000266,CUST-090,年金保険,2020-02-24,2024-02-23,1574240.0,田中,22,緊急,4.0,02_contract_data_B_202401.csv
CON000267,CUST-112,医療保険,2020-04-29,2025-04-28,207372.0,田中,452,正常,5.0,02_contract_data_B_202401.csv
CON000268,CUST-132,損害保険,2021-03-29,2024-03-28,349430.0,田中,56,警告,3.0,02_contract_data_B_202401.csv
CON000269,CUST-033,生命保険,2024-07-24,2025-07-24,1682665.0,佐藤,539,正常,1.0,02_contract_data_B_202401.csv
CON000270,CUST-146,生命保険,2020-03-27,2024-03-26,371783.0,伊藤,54,警告,4.0,02_contract_data_B_202401.csv
CON000271,CUST-114,生命保険,2021-03-27,2024-03-26,338767.0,伊藤,54,警告,3.0,02_contract_data_B_202401.csv
CON000272,CUST-072,損害保険,2021-02-13,2024-02-13,104344.0,田中,12,緊急,3.0,02_contract_data_B_202401.csv
CON000273,CUST-100,生命保険,2019-04-05,2024-04-03,1675218.0,鈴木,62,警告,5.0,02_contract_data_B_202401.csv
CON000274,CUST-074,年金保険,2021-06-17,2023-06-17,307189.0,佐藤,-229,期限切れ,2.0,02_contract_data_B_202401.csv
CON000275,CUST-045,年金保険,2019-12-26,2023-12-25,1749769.0,田中,-38,期限切れ,4.0,02_contract_data_B_202401.csv
CON000276,CUST-089,生命保険,2021-04-27,2024-04-26,1187015.0,伊藤,85,警告,3.0,02_contract_data_B_202401.csv
CON000277,CUST-045,医療保険,2021-08-31,2023-08-31,520268.0,伊藤,-154,期限切れ,2.0,02_contract_data_B_202401.csv
CON000278,CUST-061,年金保険,2021-10-21,2023-10-21,806854.0,田中,-103,期限切れ,2.0,02_contract_data_B_202401.csv
CON000279,CUST-142,損害保険,2020-03-27,2024-03-26,1904399.0,伊藤,54,警告,4.0,02_contract_data_B_202401.csv
CON000280,CUST-123,年金保険,2019-08-27,2023-08-26,1776667.0,高橋,-159,期限切れ,4.0,02_contract_data_B_202401.csv
CON000281,CUST-019,年金保険,2021-03-12,2024-03-11,1476291.0,高橋,39,警告,3.0,02_contract_data_B_202401.csv
CON000282,CUST-047,損害保険,2019-02-06,2024-02-05,1104581.0,高橋,4,緊急,5.0,02_contract_data_B_202401.csv
CON000283,CUST-133,損害保険,2023-06-28,2024-06-27,395310.0,鈴木,147,正常,1.0,02_contract_data_B_202401.csv
CON000284,CUST-089,医療保険,2021-02-02,2023-02-02,575557.0,田中,-364,期限切れ,2.0,02_contract_data_B_202401.csv
CON000285,CUST-033,医療保険,2020-04-24,2023-04-24,1168784.0,伊藤,-283,期限切れ,3.0,02_contract_data_B_202401.csv
CON000286,CUST-149,損害保険,2021-03-09,2023-03-09,1431462.0,佐藤,-329,期限切れ,2.0,02_contract_data_B_202401.csv
CON000287,CUST-087,生命保険,2019-05-01,2024-04-29,220336.0,田中,88,警告,5.0,02_contract_data_B_202401.csv
CON000288,CUST-068,損害保険,2018-03-10,2023-03-09,923645.0,伊藤,-329,期限切れ,5.0,02_contract_data_B_202401.csv
CON000289,CUST-140,医療保険,2020-03-05,2024-03-04,1062808.0,鈴木,32,警告,4.0,02_contract_data_B_202401.csv
CON000290,CUST-077,年金保険,2019-02-16,2023-02-15,1494127.0,田中,-351,期限切れ,4.0,02_contract_data_B_202401.csv
CON000291,CUST-124,年金保険,2019-06-21,2023-06-20,763435.0,佐藤,-226,期限切れ,4.0,02_contract_data_B_202401.csv
CON000292,CUST-089,年金保険,2021-03-24,2024-03-23,1645230.0,佐藤,51,警告,3.0,02_contract_data_B_202401.csv
CON000293,CUST-082,損害保険,2023-02-18,2024-02-18,306947.0,高橋,17,緊急,1.0,02_contract_data_B_202401.csv
CON000294,CUST-025,生命保険,2021-09-27,2023-09-27,855620.0,鈴木,-127,期限切れ,2.0,02_contract_data_B_202401.csv
CON000295,CUST-041,医療保険,2023-07-05,2025-07-04,1562315.0,伊藤,519,正常,2.0,02_contract_data_B_202401.csv
CON000296,CUST-128,年金保険,2022-02-25,2024-02-25,1893555.0,高橋,24,緊急,2.0,02_contract_data_B_202401.csv
CON000297,CUST-101,年金保険,2023-02-01,2024-02-01,501190.0,佐藤,0,緊急,1.0,02_contract_data_B_202401.csv
CON000298,CUST-073,年金保険,2023-03-07,2024-03-06,1900399.0,伊藤,34,警告,1.0,02_contract_data_B_202401.csv
CON000299,CUST-138,生命保険,2022-08-27,2025-08-26,953721.0,田中,572,正常,3.0,02_contract_data_B_202401.csv
CON000300,CUST-104,医療保険,2020-09-18,2023-09-18,890080.0,田中,-136,期限切れ,3.0,02_contract_data_B_202401.csv
POL-2024000301,CUST-093,医療保険,2021-04-19,2023-04-19,860232.0,田中,-288,期限切れ,2.0,03_契約データ_C_202401.csv
POL-2024000302,CUST-072,生命保険,2019-02-26,2024-02-25,252755.0,佐藤,24,緊急,5.0,03_契約データ_C_202401.csv
POL-2024000303,CUST-143,医療保険,2021-02-26,2024-02-26,467454.0,佐藤,25,緊急,3.0,03_契約データ_C_202401.csv
POL-2024000304,CUST-011,生命保険,2019-03-30,2024-03-28,337386.0,田中,56,警告,5.0,03_契約データ_C_202401.csv
POL-2024000305,CUST-133,年金保険,2020-04-24,2024-04-23,1321420.0,佐藤,82,警告,4.0,03_契約データ_C_202401.csv
POL-2024000306,CUST-082,損害保険,2021-09-23,2024-09-22,1342895.0,高橋,234,正常,3.0,03_契約データ_C_202401.csv
POL-2024000307,CUST-087,年金保険,2019-03-24,2024-03-22,678706.0,伊藤,50,警告,5.0,03_契約データ_C_202401.csv
POL-2024000308,CUST-085,生命保険,2021-02-01,2024-02-01,1274112.0,高橋,0,緊急,3.0,03_契約データ_C_202401.csv
POL-2024000309,CUST-122,医療保険,2023-03-01,2024-02-29,1261387.0,伊藤,28,緊急,1.0,03_契約データ_C_202401.csv
POL-2024000310,CUST-123,損害保険,2019-01-06,2024-01-05,1369161.0,伊藤,-27,期限切れ,5.0,03_契約データ_C_202401.csv
POL-2024000311,CUST-038,損害保険,2020-04-22,2024-04-21,1250766.0,田中,80,警告,4.0,03_契約データ_C_202401.csv
POL-2024000312,CUST-005,年金保険,2022-08-23,2024-08-22,928245.0,鈴木,203,正常,2.0,03_契約データ_C_202401.csv
POL-2024000313,CUST-106,年金保険,2021-02-12,2023-02-12,1530117.0,田中,-354,期限切れ,2.0,03_契約データ_C_202401.csv
POL-2024000314,CUST-084,年金保険,2018-10-18,2023-10-17,840258.0,伊藤,-107,期限切れ,5.0,03_契約データ_C_202401.csv
POL-2024000315,CUST-137,医療保険,2020-02-07,2024-02-06,792993.0,伊藤,5,緊急,4.0,03_契約データ_C_202401.csv
POL-2024000316,CUST-124,損害保険,2021-04-28,2024-04-27,635118.0,佐藤,86,警告,3.0,03_契約データ_C_202401.csv
POL-2024000317,CUST-074,損害保険,2021-03-18,2024-03-17,714882.0,高橋,45,警告,3.0,03_契約データ_C_202401.csv
POL-2024000318,CUST-074,生命保険,2021-02-18,2024-02-18,1468979.0,伊藤,17,緊急,3.0,03_契約データ_C_202401.csv
POL-2024000319,CUST-089,損害保険,2020-03-01,2024-02-29,138219.0,鈴木,28,緊急,4.0,03_契約データ_C_202401.csv
POL-2024000320,CUST-114,医療保険,2020-12-22,2023-12-22,498762.0,高橋,-41,期限切れ,3.0,03_契約データ_C_202401.csv
POL-2024000321,CUST-144,医療保険,2020-05-01,2023-05-01,279064.0,佐藤,-276,期限切れ,3.0,03_契約データ_C_202401.csv
POL-2024000322,CUST-063,生命保険,2022-04-10,2024-04-09,523267.0,伊藤,68,警告,2.0,03_契約データ_C_202401.csv
POL-2024000323,CUST-106,医療保険,2023-03-07,2024-03-06,260857.0,高橋,34,警告,1.0,03_契約データ_C_202401.csv
POL-2024000324,CUST-141,損害保険,2023-03-12,2024-03-11,1419215.0,高橋,39,警告,1.0,03_契約データ_C_202401.csv
POL-2024000325,CUST-052,医療保険,2021-09-02,2025-09-01,648559.0,鈴木,578,正常,4.0,03_契約データ_C_202401.csv
POL-2024000326,CUST-147,損害保険,2023-05-01,2024-04-30,1599137.0,伊藤,89,警告,1.0,03_契約データ_C_202401.csv
POL-2024000327,CUST-045,年金保険,2023-05-02,2024-05-01,1978613.0,佐藤,90,警告,1.0,03_契約データ_C_202401.csv
POL-2024000328,CUST-048,医療保険,2019-07-13,2023-07-12,69434.0,田中,-204,期限切れ,4.0,03_契約データ_C_202401.csv
POL-2024000329,CUST-086,医療保険,2022-03-29,2023-03-29,1394929.0,高橋,-309,期限切れ,1.0,03_契約データ_C_202401.csv
POL-2024000330,CUST-130,年金保険,2022-02-16,2024-02-16,454354.0,鈴木,15,緊急,2.0,03_契約データ_C_202401.csv
POL-2024000331,CUST-118,医療保険,2023-04-06,2025-04-05,79536.0,佐藤,429,正常,2.0,03_契約データ_C_202401.csv
POL-2024000332,CUST-146,損害保険,2021-04-23,2024-04-22,1331264.0,佐藤,81,警告,3.0,03_契約データ_C_202401.csv
POL-2024000333,CUST-132,医療保険,2021-06-22,2025-06-21,890608.0,田中,506,正常,4.0,03_契約データ_C_202401.csv
POL-2024000334,CUST-123,医療保険,2022-03-15,2024-03-14,64323.0,佐藤,42,警告,2.0,03_契約データ_C_202401.csv
POL-2024000335,CUST-069,医療保険,2019-10-04,2023-10-03,1271508.0,鈴木,-121,期限切れ,4.0,03_契約データ_C_202401.csv
POL-2024000336,CUST-093,損害保険,2021-03-04,2024-03-03,1450448.0,田中,31,警告,3.0,03_契約データ_C_202401.csv
POL-2024000337,CUST-104,医療保険,2021-08-27,2023-08-27,1389474.0,田中,-158,期限切れ,2.0,03_契約データ_C_202401.csv
POL-2024000338,CUST-057,損害保険,2022-03-01,2025-02-28,1052820.0,佐藤,393,正常,3.0,03_契約データ_C_202401.csv
POL-2024000339,CUST-107,年金保険,2020-03-27,2023-03-27,1731905.0,伊藤,-311,期限切れ,3.0,03_契約データ_C_202401.csv
POL-2024000340,CUST-021,年金保険,2022-03-17,2024-03-16,1525904.0,伊藤,44,警告,2.0,03_契約データ_C_202401.csv
POL-2024000341,CUST-029,生命保険,2019-03-03,2024-03-01,1943493.0,伊藤,29,緊急,5.0,03_契約データ_C_202401.csv
POL-2024000342,CUST-039,損害保険,2019-02-20,2024-02-19,1841987.0,鈴木,18,緊急,5.0,03_契約データ_C_202401.csv
POL-2024000343,CUST-150,年金保険,2022-02-04,2024-02-04,1935107.0,田中,3,緊急,2.0,03_契約データ_C_202401.csv
POL-2024000344,CUST-117,損害保険,2023-02-26,2024-02-26,921208.0,伊藤,25,緊急,1.0,03_契約データ_C_202401.csv
POL-2024000345,CUST-119,医療保険,2019-02-03,2024-02-02,880364.0,田中,1,緊急,5.0,03_契約データ_C_202401.csv
POL-2024000346,CUST-149,生命保険,2022-01-30,2024-01-30,938557.0,田中,-2,期限切れ,2.0,03_契約データ_C_202401.csv
POL-2024000347,CUST-016,生命保険,2019-02-04,2024-02-03,116552.0,高橋,2,緊急,5.0,03_契約データ_C_202401.csv
POL-2024000348,CUST-108,医療保険,2021-10-31,2023-10-31,990650.0,高橋,-93,期限切れ,2.0,03_契約データ_C_202401.csv
POL-2024000349,CUST-021,損害保険,2021-05-24,2025-05-23,298791.0,鈴木,477,正常,4.0,03_契約データ_C_202401.csv
POL-2024000350,CUST-136,損害保険,2019-05-02,2023-05-01,1800747.0,佐藤,-276,期限切れ,4.0,03_契約データ_C_202401.csv
POL-2024000351,CUST-119,年金保険,2021-01-20,2024-01-20,845400.0,伊藤,-12,期限切れ,3.0,03_契約データ_C_202401.csv
POL-2024000352,CUST-089,損害保険,2021-01-11,2025-01-10,445272.0,鈴木,344,正常,4.0,03_契約データ_C_202401.csv
POL-2024000353,CUST-108,生命保険,2023-08-26,2024-08-25,482184.0,佐藤,206,正常,1.0,03_契約データ_C_202401.csv
POL-2024000354,CUST-115,生命保険,2022-04-02,2023-04-02,1603027.0,佐藤,-305,期限切れ,1.0,03_契約データ_C_202401.csv
POL-2024000355,CUST-139,損害保険,2021-06-21,2023-06-21,343885.0,田中,-225,期限切れ,2.0,03_契約データ_C_202401.csv
POL-2024000356,CUST-148,医療保険,2022-02-10,2024-02-10,1303924.0,伊藤,9,緊急,2.0,03_契約データ_C_202401.csv
POL-2024000357,CUST-061,医療保険,2021-04-25,2024-04-24,1434565.0,佐藤,83,警告,3.0,03_契約データ_C_202401.csv
POL-2024000358,CUST-071,生命保険,2021-02-14,2024-02-14,1290815.0,伊藤,13,緊急,3.0,03_契約データ_C_202401.csv
POL-2024000359,CUST-143,年金保険,2020-10-29,2024-10-28,772290.0,田中,270,正常,4.0,03_契約データ_C_202401.csv
POL-2024000360,CUST-082,年金保険,2020-05-28,2025-05-27,362932.0,高橋,481,正常,5.0,03_契約データ_C_202401.csv
POL-2024000361,CUST-122,損害保険,2018-10-30,2023-10-29,680689.0,佐藤,-95,期限切れ,5.0,03_契約データ_C_202401.csv
POL-2024000362,CUST-015,年金保険,2020-09-27,2024-09-26,1218715.0,高橋,238,正常,4.0,03_契約データ_C_202401.csv
POL-2024000363,CUST-066,損害保険,2022-02-13,2024-02-13,1406240.0,鈴木,12,緊急,2.0,03_契約データ_C_202401.csv
POL-2024000364,CUST-024,損害保険,2020-06-15,2023-06-15,613004.0,田中,-231,期限切れ,3.0,03_契約データ_C_202401.csv
POL-2024000365,CUST-011,生命保険,2019-02-21,2024-02-20,1737474.0,佐藤,19,緊急,5.0,03_契約データ_C_202401.csv
POL-2024000366,CUST-056,年金保険,2019-04-20,2024-04-18,1873418.0,佐藤,77,警告,5.0,03_契約データ_C_202401.csv
POL-2024000367,CUST-055,損害保険,2024-03-08,2025-03-08,1616319.0,田中,401,正常,1.0,03_契約データ_C_202401.csv
POL-2024000368,CUST-053,年金保険,2023-09-05,2025-09-04,1207794.0,佐藤,581,正常,2.0,03_契約データ_C_202401.csv
POL-2024000369,CUST-120,医療保険,2020-02-11,2024-02-10,598534.0,鈴木,9,緊急,4.0,03_契約データ_C_202401.csv
POL-2024000370,CUST-120,生命保険,2020-03-01,2024-02-29,1647251.0,高橋,28,緊急,4.0,03_契約データ_C_202401.csv
POL-2024000371,CUST-081,年金保険,2021-11-27,2024-11-26,1229699.0,田中,299,正常,3.0,03_契約データ_C_202401.csv
POL-2024000372,CUST-067,年金保険,2023-09-29,2024-09-28,369629.0,鈴木,240,正常,1.0,03_契約データ_C_202401.csv
POL-2024000373,CUST-146,損害保険,2019-10-07,2023-10-06,1204781.0,高橋,-118,期限切れ,4.0,03_契約データ_C_202401.csv
POL-2024000374,CUST-066,年金保険,2021-04-16,2024-04-15,1016428.0,高橋,74,警告,3.0,03_契約データ_C_202401.csv
POL-2024000375,CUST-036,年金保険,2021-08-04,2023-08-04,1972877.0,佐藤,-181,期限切れ,2.0,03_契約データ_C_202401.csv
POL-2024000376,CUST-009,生命保険,2019-07-03,2024-07-01,1652934.0,田中,151,正常,5.0,03_契約データ_C_202401.csv
POL-2024000377,CUST-018,損害保険,2021-11-22,2023-11-22,508688.0,田中,-71,期限切れ,2.0,03_契約データ_C_202401.csv
POL-2024000378,CUST-124,年金保険,2023-02-12,2024-02-12,63867.0,田中,11,緊急,1.0,03_契約データ_C_202401.csv
POL-2024000379,CUST-005,医療保険,2023-02-14,2024-02-14,651229.0,伊藤,13,緊急,1.0,03_契約データ_C_202401.csv
POL-2024000380,CUST-046,生命保険,2019-02-09,2023-02-08,1149715.0,田中,-358,期限切れ,4.0,03_契約データ_C_202401.csv
POL-2024000381,CUST-135,医療保険,2018-10-26,2023-10-25,610620.0,鈴木,-99,期限切れ,5.0,03_契約データ_C_202401.csv
POL-2024000382,CUST-104,年金保険,2021-03-09,2024-03-08,560043.0,伊藤,36,警告,3.0,03_契約データ_C_202401.csv
POL-2024000383,CUST-021,生命保険,2021-12-20,2024-12-19,899930.0,田中,322,正常,3.0,03_契約データ_C_202401.csv
POL-2024000384,CUST-015,生命保険,2020-02-19,2024-02-18,223405.0,佐藤,17,緊急,4.0,03_契約データ_C_202401.csv
POL-2024000385,CUST-145,生命保険,2021-02-14,2024-02-14,1977601.0,伊藤,13,緊急,3.0,03_契約データ_C_202401.csv
POL-2024000386,CUST-122,医療保険,2018-10-16,2023-10-15,1988102.0,田中,-109,期限切れ,5.0,03_契約データ_C_202401.csv
POL-2024000387,CUST-145,生命保険,2018-09-11,2023-09-10,1997764.0,佐藤,-144,期限切れ,5.0,03_契約データ_C_202401.csv
POL-2024000388,CUST-037,年金保険,2022-05-19,2024-05-18,677629.0,田中,107,正常,2.0,03_契約データ_C_202401.csv
POL-2024000389,CUST-100,医療保険,2018-10-01,2023-09-30,1634627.0,高橋,-124,期限切れ,5.0,03_契約データ_C_202401.csv
POL-2024000390,CUST-129,医療保険,2023-04-23,2024-04-22,254861.0,田中,81,警告,1.0,03_契約データ_C_202401.csv
POL-2024000391,CUST-088,年金保険,2023-02-27,2024-02-27,112129.0,鈴木,26,緊急,1.0,03_契約データ_C_202401.csv
POL-2024000392,CUST-126,損害保険,2020-04-23,2024-04-22,1209804.0,鈴木,81,警告,4.0,03_契約データ_C_202401.csv
POL-2024000393,CUST-150,年金保険,2023-07-19,2025-07-18,1669352.0,田中,533,正常,2.0,03_契約データ_C_202401.csv
POL-2024000394,CUST-019,生命保険,2022-04-24,2024-04-23,373424.0,鈴木,82,警告,2.0,03_契約データ_C_202401.csv
POL-2024000395,CUST-100,医療保険,2022-02-26,2024-02-26,273453.0,鈴木,25,緊急,2.0,03_契約データ_C_202401.csv
POL-2024000396,CUST-093,医療保険,2019-08-28,2023-08-27,327887.0,田中,-158,期限切れ,4.0,03_契約データ_C_202401.csv
POL-2024000397,CUST-143,年金保険,2019-06-26,2023-06-25,105075.0,田中,-221,期限切れ,4.0,03_契約データ_C_202401.csv
POL-2024000398,CUST-084,年金保険,2022-04-23,2023-04-23,662048.0,田中,-284,期限切れ,1.0,03_契約データ_C_202401.csv
POL-2024000399,CUST-144,損害保険,2023-02-25,2024-02-25,1142835.0,伊藤,24,緊急,1.0,03_契約データ_C_202401.csv
POL-2024000400,CUST-036,医療保険,2021-07-21,2023-07-21,612889.0,鈴木,-195,期限切れ,2.0,03_契約データ_C_202401.csv
POL-2024000401,CUST-112,医療保険,2022-02-03,2024-02-03,678626.0,高橋,2,緊急,2.0,03_契約データ_C_202401.csv
POL-2024000402,CUST-065,損害保険,2021-02-03,2024-02-03,1295302.0,高橋,2,緊急,3.0,03_契約データ_C_202401.csv
POL-2024000403,CUST-035,医療保険,2023-04-02,2024-04-01,879826.0,田中,60,警告,1.0,03_契約データ_C_202401.csv
POL-2024000404,CUST-085,年金保険,2020-02-21,2024-02-20,953067.0,鈴木,19,緊急,4.0,03_契約データ_C_202401.csv
POL-2024000405,CUST-077,医療保険,2024-01-01,2025-12-31,1508133.0,伊藤,699,正常,2.0,03_契約データ_C_202401.csv
POL-2024000406,CUST-102,医療保険,2021-08-24,2023-08-24,1591143.0,鈴木,-161,期限切れ,2.0,03_契約データ_C_202401.csv
POL-2024000407,CUST-063,医療保険,2019-04-05,2024-04-03,637832.0,高橋,62,警告,5.0,03_契約データ_C_202401.csv
POL-2024000408,CUST-030,損害保険,2022-06-09,2025-06-08,1194267.0,伊藤,493,正常,3.0,03_契約データ_C_202401.csv
POL-2024000409,CUST-119,損害保険,2022-04-25,2023-04-25,1722867.0,高橋,-282,期限切れ,1.0,03_契約データ_C_202401.csv
POL-2024000410,CUST-105,年金保険,2022-02-11,2023-02-11,1378201.0,佐藤,-355,期限切れ,1.0,03_契約データ_C_202401.csv
POL-2024000411,CUST-109,年金保険,2022-02-09,2024-02-09,991761.0,田中,8,緊急,2.0,03_契約データ_C_202401.csv
POL-2024000412,CUST-103,年金保険,2020-09-05,2025-09-04,127102.0,伊藤,581,正常,5.0,03_契約データ_C_202401.csv
POL-2024000413,CUST-022,生命保険,2019-03-28,2024-03-26,1429090.0,佐藤,54,警告,5.0,03_契約データ_C_202401.csv
